ArticleID,Topic,Ideology,Credibility,Source,Title,Abstract
10,climate,least_biased,medium,Newzjunky: CNBC,Bill Gates on why he’ll carry on using private jets and campaigning on climate change,"During a wide-ranging interview with the BBC aired at the end of last week, Gates was asked for his view on the charge that a climate change campaigner using a private jet to travel around the world was a hypocrite.
“Well, I buy the gold standard of, funding Climeworks, to do direct air capture that far exceeds my family’s carbon footprint,” the Microsoft co-founder, who was being interviewed in Kenya, replied.
“And I spend billions of dollars on ... climate innovation. So, you know, should I stay at home and not come to Kenya and learn about farming and malaria?”"
11,climate,least_biased,medium,Newzjunky: CBC,"Rush to electric vehicles may be an expensive mistake, say climate strategists","For people with money and a conscience, EVs are doubly satisfying. They allow the affluent to indulge in the time-honoured pleasures of conspicuous consumption while at the same time saving the planet.
But for those who have looked more deeply at how the world can escape its dependence on oil and gas, the rush to replace existing gas guzzlers with a new fleet of clean, silent battery-powered personal transport leaves them uneasy. ""It's a really important evolution of technology to get away from internal combustion engines, so that part is necessary,"" said Lorinc in a recent phone interview. But he said the change comes with many caveats, including the fact that a lot of the world's electricity is still made using fossil fuels. "
12,climate,center_right,high,Wall Street Journal,"Climate Change Drives Fish Into New Waters, Remaking an Industry","Aboard the Stanley K and the Oracle, two 58-foot vessels, Buck Laukitis and his crews chase halibut across the Bering Sea worth $5 a pound at the docks. As sea temperatures rise, and Arctic ice retreats the fish appear to be avoiding warming waters, migrating northward where they cost more to reach, federal fisheries biologists say. “It keeps me up at night,” he says. “I woke up at three in the morning. I couldn’t sleep thinking about where the fish are going.”
Across the continent from Mr. Laukitis in Rhode Island, black sea bass have moved in with the warming waters. The bulk once lived roughly 700 miles south off North Carolina. Now they are a staple catch in Point Judith, R.I., along with the summer flounder that also have begun appearing.
“Not everybody is a loser in global warming,” says Aaron Gewirtz, owner of a 45-foot trawler in Point Judith, who says his bottom line has been shored up by the newcomers. “Some species really dig it. And black sea bass is one of them.”"
13,climate,center_right,high,Wall Street Journal,Carbon Emissions Climbed Less Than Feared in 2022 Despite Coal Resurgence,"IEA says demand for renewable sources helped alleviate impact from coal usage after Russia’s invasion of Ukraine.
Global carbon emissions inched higher last year, according to the International Energy Agency, but the increase was less than what had been feared as booming demand for renewable energy kept the impact from resurgent coal plants in check.
“The impacts of the energy crisis didn’t result in the major increase in global emissions that was initially feared—and this is thanks to the outstanding growth of renewables,” said Fatih Birol, the IEA’s executive director. “Without clean energy, the growth in CO2 emissions would have been nearly three times as high.”"
14,climate,center_right,medium,New York Post,"With the ‘expert’ COVID view blown up, green terror must be next","With the demolition of the “expert” views on COVID — mask mandates are useless; vaccines fail to stop transmission; the virus most likely came from that Wuhan lab — it’s time to take a very hard look at another major “settled science” pseudo-consensus: climate doom-saying. 
Climate change is real, with human activity contributing to it. But the exact mechanics aren’t remotely as well understood as received wisdom has it — and the terror-campaign hysteria about how to address it, from Greta Thunberg and Al Gore all the way to Joe Biden, Kathy Hochul and most of the media, is utterly anti-science. Carbon fuels and the technologies that depend up them are essential to modern society: Pretending that governments can simply mandate them away, ordering replacements into existence, is out-and-out magical thinking."
15,climate,center_right,medium,New York Post,Critics slam new ‘carbon aware’ Xbox console: ‘The woke brigade has come for video games’,"Xbox is working to reduce our environmental impact to help us reach Microsoft’s goal of being a carbon negative, water positive, and zero waste company by 2030 by rethinking how we design, build, distribute, and use our products,” a press release from Microsoft’s Xbox Wire said.
“They want to take your guns. They want to take your gas stoves. And now they want to take your Xbox. What’s next?” Rep. Troy Nehls, R-Texas, tweeted.
Conservative journalist John Ziegler commented on the announcement as well, “Could this be what finally makes some young people realize the negative real-world impacts of the #ClimateScam?! Or, on the other hand, could this be the most culturally productive thing ever done under the guise of the alleged #ClimateEmergency?!”"
16,climate,right,high,National Review,Cool the Climate Alarmism,"The latest U.N. forecast should remind us that the climate is an immensely complex system.
The report released before last year’s climate conference points to global warming of between two and three degrees centigrade over pre-industrial levels, considerably less than the increase of four or even five degrees that was once widely forecast.
We cannot pretend to be certain what it will look like at the end of the century, or how much of any change will be due to human activity, or what the effects of climate change will be. 
Above all, we believe that the best way to protect societies from the vicissitudes of the weather and the climate is by wealth creation. To the extent that climate policy inhibits economic growth, it is self-defeating. The richer humanity becomes, the greater our ability to spend what it takes to live with, adapt to, and — who knows — one day accurately model the future of the climate."
17,climate,right,high,National Review,Biden’s Preferred ‘Green’ Car Is Worse for the Environment,"We’ve known that the Biden administration cares about the climate about as much as it cares about coherent sentences, but the most recent Twitter post from POTUS really is a humdinger. Seated in a 9,000-pound Hummer EV — an asphalt-crushing weight for a consumer vehicle — Biden cheeses for the cameras and reminds the public why Democrats aren’t worth listening to about conservation and practical climate solutions: As Peter Huether of the American Council for an Energy-Efficient Economy (ACEEE) notes, the Hummer EV produces more CO2 than a midsize ICE sedan."
18,climate,right,medium,BreitBart,Alarmists: Nine Years to Avoid ‘Critical Climate Change Threshold’,"Climate change alarmists are pressing for faster transition away from affordable fossil fuels, insisting that the world has only nine years to avoid a “critical climate change threshold.”
Citing the yearly Global Carbon Budget report, Zack Budryk wrote in the Hill Friday that humanity must radically reduce its consumption of fossil fuels to avoid crossing the 1.5-degree warming threshold, warning that at current levels that threshold will be reached in just nine years.
The authors of the report assume a likelihood of 68 percent that “the true value will be within the provided range,” a choice that reflects “the difficulty of characterizing the uncertainty in the CO2 fluxes between the atmosphere and the ocean and land reservoirs individually, particularly on an annual basis, as well as the difficulty of updating the CO2 emissions from land-use change.”"
19,climate,right,medium,BreitBart,Green Extremists Glue Hands to Runways at German Airports,"Climate activists briefly disrupted traffic at Munich airport in southern Germany Thursday, in a protest against the environmental impact of air travel.
The group Last Generation said some of its members glued themselves to the tarmac in Munich, while others entered the grounds of Berlin airport. Henner Euting, a spokesperson for Munich airport, confirmed that the northern runway was briefly closed. Planes had to be routed over the southern runway, causing short delays, he said."
20,climate,right,medium,Fox News,"Just Stop Oil opens door to more extreme protests, including 'slashing' famous artwork","Just Stop Oil, the British climate group that has staged protests defacing famous paintings and blocking busy city streets, said it was considering taking more extreme measures to protest new fossil fuel development.
In a blog post Wednesday, the group said it was obliged to escalate its actions because climate change posed such a large threat to humanity and future generations. While the group pushed back on media reports that it would soon begin slashing famous paintings, it said such actions could be taken in the future."
21,climate,right,medium,Fox News,Republicans are planning to battle Biden's 'radical' green agenda with House control: 'keep energy costs low',"House Republicans are preparing to pursue an aggressive plan to fight President Biden's climate agenda through legislation and investigations over administration policymaking when they assume majority control early next year.
Several top GOP members, who are in leadership roles on energy policy, laid out their priorities to Fox News Digital. In addition to stemming the Biden administration's green agenda and efforts to curb fossil fuel production, the Republicans said they would aim to unleash American energy, hold China accountable and secure the domestic critical mineral supply chain."
22,abortion_laws,left,high,The New Yorker,A Win for Abortion Rights in Kansas: Voters went to the polls in historic numbers to reject Republicans’ plans.,"The Dobbs decision and the anti-amendment campaign also energized a raft of voters—especially women, across generations, particularly in cities and suburbs—who were determined not to allow Republican legislators and conservative churches to take away a right that had been in place for nearly fifty years. Opponents, who have been fighting for decades against abortion, most notably during the 1991 Summer of Mercy, in Wichita, vowed to persevere. For now, though, the victors are savoring their triumph. “I have four daughters,” Ashley All, the spokesperson for Kansans for Constitutional Freedom, told reporters on Wednesday morning. “This campaign was for them.”"
23,abortion_laws,left,high,The New Yorker,"Abortion Is About Freedom, Not Just Privacy","The Supreme Court’s decision to overturn Roe v. Wade has brought old feelings of astonishment and disgust back to the surface. The Court’s utter disregard for the rights of women and of trans and nonbinary people who have the capacity to become pregnant is shocking in the twenty-first century. In the text of the majority opinion—as, indeed, in the original 1973 Roe opinion—the rights of women as full citizens hardly seem to register."
24,abortion_laws,left,medium,Huffington Post,2 States Introduce Radical Bills To Prosecute Pregnant People For Abortion,Republicans in Arkansas and Oklahoma introduced bills this week that would allow authorities to criminally prosecute pregnant people for seeking abortion care. The legislation offers a terrifying preview of what’s to come in a country that no longer has federal abortion protections.
25,abortion_laws,left,medium,Huffington Post,"Two Years After My Beloved Daughter Died, I Got Pregnant Again. Here's Why I Chose An Abortion.","Many people presume that a pregnancy after the death of a child is a “miracle,” regardless of the circumstances, but everything about this pregnancy felt wrong. I had been down the demoralizing road of food stamps and piling up credit card debt raising Antonia. As a single woman working in the field of social services, I could never work enough to afford full-time day care."
26,abortion_laws,center_left,high,ABC News,"Idaho woman shares 19-day miscarriage on TikTok, says state's abortion laws prevented her from getting care","Carmen Broesder, 35, from Nampa -- 20 miles west of Boise -- a mother-of-one was just six weeks pregnant when she began miscarrying on Dec. 8. However, she said it took eight days before she was given any medicine to manage her pain and to expel embryonic tissue, and several more days for the miscarriage to end.
In a series of TikTok videos -- along with medical records, photos and videos shared with ABC News -- she said that despite bleeding heavily and suffering intense cramps, she was denied a dilation and curettage, or D&C, which removes tissue from inside the uterus, multiple times. Because a D&C can also be used when providing abortion care, she told ABC News she believes it's directly tied to Idaho's abortion ban."
27,abortion_laws,center_left,high,ABC News,Democratic governors form alliance on abortion rights,"Democratic governors in 20 states are launching a network intended to strengthen abortion access in the wake of the U.S. Supreme Court decision nixing a woman’s constitutional right to end a pregnancy and instead shifting regulatory powers over the procedure to state governments.
Organizers, led by California Gov. Gavin Newsom, described the Reproductive Freedom Alliance as a way for governors and their staffs to share best practices and affirm abortion rights for the approximately 170 million Americans who live in the consortium’s footprint — and even ensuring services for the remainder of U.S. residents who live in states with more restrictive laws."
28,abortion_laws,center_left,medium,Buzzfeed,"Abortion Rights Were Decimated Across The US In 2022, But These People Showed The Fight For Access Isn’t Over","Thanks to the work of reproductive justice lawyers, activists, doctors, and voters, attempts to outlaw abortion or further restrict access in even more states have failed — for now. People who live in states where abortion is illegal have been able to get the care they need by self-managing an abortion with FDA-approved medications or traveling out of state with the help of volunteers, abortion funds, and providers. And, perhaps more than ever, people are talking about how vital abortion access is and sharing their own abortion stories."
29,abortion_laws,center_left,medium,Buzzfeed,Abortion Took Center Stage In The Michigan Elections — Just As Activists Predicted,"Pro–abortion rights campaigners weren’t surprised that voters turned out in big numbers to support the issue.  The enthusiasm among young voters like Pedersen helped propel Proposal 3 to victory. By Wednesday, the outcome was clear: 57% of voters approved the amendment to restore the right to abortion and further protect other forms of reproductive healthcare in the state. Although pundits and polls had suggested abortion would not “deliver” for Democrats, it ended up being a huge motivating issue for voters at the ballot box, both in Michigan and across the country."
30,abortion_laws,least_biased,high,CNET,"Medication Abortion Remains a Battleground, This Time Challenging US Drug Market","The future of medication abortion is teetering in lawsuits over the availability and legality of mifepristone, the first of two drugs used in the procedure. 
In late February, attorneys general from about a dozen Democratic-led states sued the US Food and Drug Administration over regulations they say are medically unnecessary and are meant to make it harder for people to get mifepristone. But others claim that the FDA's rules aren't tight enough. Whether mifepristone is even able to stay on the US market could depend on the ruling of one judge in Texas, which has already banned abortion for the state with narrow exceptions, and the ruling could come in any day."
31,abortion_laws,least_biased,high,CNET,"Abortion Is an Economic Issue: In a Post-Roe World, How Much Does It Cost?","In the post-Roe terrain, the divide between the haves and have-nots is only increasing, according to Baker. In states that support reproductive rights and telemedicine, abortion is becoming more accessible. But in states where abortion is banned, reproductive care is more difficult and expensive -- and even if you can obtain an abortion somewhere else, you can't always afford to get there.  In a country where nearly half of all workers are in low-wage jobs and where child care is out of reach for millions, the lack of abortion access severely impacts women's educational and employment outcomes. "
32,abortion_laws,least_biased,medium,Newzjunky: AP,US Catholic bishops worry about abortion views in the pews,"The members of the U.S. Conference of Catholic Bishops rounded out their leadership bench during the last day of public sessions of their fall annual meeting in Baltimore, which concludes with private meetings Thursday.
They also set in motion a plan to recirculate their long-standing election document in 2024 — a 15-year-old statement that prioritizes opposition to abortion — while acknowledging it’s outdated and adding a cover statement addressing such things as the teachings of Pope Francis and the Supreme Court’s Dobbs ruling in June that overturned the nationwide right to abortion."
33,abortion_laws,least_biased,medium,Newzjunky: POLITICO,Zeldin vows he won't mess with abortion rights if elected. Democrats aren't buying it.,"New York has among the strongest abortion rights in the country, even before the high court ruling, and Hochul pushed for more after the decision. A 2019 law under her predecessor codified Roe into state law. And before SCOTUS ruled in June, Hochul and the Legislature passed laws that included making the state a safe haven for those who came her from out of state seeking an abortion. Then in July, lawmakers took the first vote to get abortion rights codified in the state constitution. Hochul supporters jumped on Zeldin’s latest abortion comments, which also included a new ad Friday that says: “I will not change and could not change New York’s abortion law. Hochul already knows that, yet she tried to deceive you anyhow.”"
34,abortion_laws,center_right,high,Wall Street Journal,Abortion Opponents Consider How Far to Press After End of Roe v. Wade,"Republican-leaning states, with new power to regulate abortions, face a choice between incremental restrictions or broader bans.
For the nearly half-century that Roe v. Wade was the law of the land, the most prominent opponents of abortion often urged an incremental approach to narrowing access to the procedure.
Now, having achieved a Supreme Court victory that overruled Roe and ended the constitutional right to an abortion, antiabortion advocates are considering what to do next."
35,abortion_laws,center_right,high,Wall Street Journal,"In States Where Abortion Is Legal, Some Cities Look to Restrict Access","Local measures highlight complexity of abortion access in states after Supreme Court’s decision to overturn Roe v. Wade.
Some city and county governments in states that allow abortion are exploring ways to restrict it within their communities.
The Supreme Court’s decision overturning Roe v. Wade in June returned the issue to the states. But a growing number of municipalities aim to create their own abortion regulations, potentially setting the stage for legal battles or conflicts with state officials."
36,abortion_laws,center_right,medium,New York Post,Adams inks deal to offer abortion pills at NYC clinics — sparking ‘tourism’ fears,"City-run health clinics will soon be able to provide “medical abortions” with pills to terminate a pregnancy — a move critics charge will turn New York into an abortion tourist mecca.
In the public notice, the health department said it’s buying the abortion pill “to mitigate the threat to public health posed by the recent Supreme Court decision that overturned Roe vs Wade, which provided a constitutional right to abortion.” The nation’s high court ruling said states should determine legalization or restriction of abortion.
State Conservative Party chairman Gerald Kassar fumed, “This is abortion tourism. New York has gone way too extreme on abortion.”
“I’m definitely supportive. Access to abortion is important,” said Upper West Siide Councilwoman Gale Brewer, a co-sponsor of the law to provide abortion pills at city clinics.
New York state had among the highest abortion rates in the country in 2020 among females 15 to 44 years old, with 110,0360 pregnancies terminated — 28.18 per 1,000, or double the national rate, according to a study by the Guttmacher Institute, a pro-choice group."
37,abortion_laws,center_right,medium,New York Post,UK woman arrested for silently praying across from abortion clinic: ‘Terrifying’,"“Conservatives and free speech activists on Twitter railed against a recent video depicting police interrogating and ultimately arresting a pro-life woman who was silently praying outside a U.K. abortion clinic. The woman who was arrested, Isabel Vaughan-Spruce, is the director of the U.K. March for Life. 
Those who watched the woman’s arrest after admitting she was “praying in my head” were appalled. Some claimed this was proof that Great Britain had become a dystopia.
RedState deputy managing editor Brandon Morse made the point, “If abortion advocates don’t believe in God and think prayer is actually silly then what are they so afraid of?”
Conservative pundit Lauren Chen tweeted, “People are literally being arrested for thought crimes in the UK. Free speech is NOT a western value, it’s a uniquely American one.”"
38,abortion_laws,right,high,National Review,Mainstream Media Mislead on a New Abortion Poll,"On Thursday, the Public Religion Research Institute (PRRI) released the results of a new poll on sanctity-of-life issues. Between March 2022 and December 2022, they posed a range of questions to 22,894 adults. 
The polls of the Public Religion Research Institute on sanctity-of-life issues have the ability to usefully inform debates. Their polls typically survey many more people than do polls conducted by various survey research firms. This allows more-nuanced analysis of abortion attitudes among various regional and demographic groups. Indeed, the finding from this year’s PRRI poll that abortion attitudes have exhibited little change after Dobbs is certainly noteworthy. That said, it is unfortunate, but unsurprising, that media are amplifying the results of one survey question that consistently overstates support for legal abortion. As always, pro-lifers should not be discouraged and should stay the course."
39,abortion_laws,right,high,National Review,Democrats Double Down on Abortion Extremism,"Throughout the summer, Democratic strategists and their allies in the press were salivating in anticipation of Senate debate season because it would force Republican candidates to talk about the issue of abortion. Well, debate season is almost over, and how many viral video clips of GOP candidates’ debating abortion have you seen rocketing around the Internet?
Zero? There’s a reason for that: Democrats haven’t won the debate. At the very least, they were fought to a draw on stage in each contest, and on the whole Democrats lost the abortion debate by embracing extremism in battleground state after battleground state."
40,abortion_laws,right,medium,BreitBart,50 Pro-Life Groups Sound Alarm on Taxpayer Funding for Abortions at VA Clinics,"Roughly 50 pro-life groups sent a letter to the U.S. House and Senate on Tuesday, warning that taxpayers could end up funding abortions by the Department of Veterans Affairs (VA) under a new rule put forth by the Biden administration. 
The letter details how a portion of the $71 million increase in funding from appropriations bills (totaling $911 million) for the Office of Women’s Health at the VA will be used to “underwrite the transformation of veteran’s health facilities into abortion centers” under an interim final rule (IFR) which provides funding for abortion by the VA."
41,abortion_laws,right,medium,BreitBart,Pence: Constitutional Rights Should ‘Extend to the Born and the Unborn’,"Anchor Chuck Todd said, “You’re a limited government guy. I know this. Are you comfortable with the idea of essentially government-mandated pregnancy?"" Pence said, “Our founding documents say we are endowed by our creator with certain inalienable rights. The first one mentions life. I think government exists to protect life, particularly defenseless life. I intend to be a part of this, but I think we have an opportunity, Chuck, to approach this in a new way. When the Supreme Court took this issue away from the American people 49 years ago, there were strong dividing lines that have endured for two generations, but now we have a political debate. We have the opportunity not just to craft thoughtful protections for the unborn but also to extend protections and support for women in crisis pregnancy and for newborns. I’d like to see us redouble our efforts to demonstrate the compassion of the American people to live out the idea there is no unwanted child.”"
42,abortion_laws,right,medium,Fox News,Pro-life centers targeted by 70% of abortion-related violent threats since Dobbs decision: FBI,"Approximately 70% of abortion-related threats of violence in the US since the Dobbs decision have been against pro-life groups, according to the head of the FBI.
FBI Director Christopher Wray gave the statistic while speaking at a hearing before the Senate Homeland Security Committee.
Sen. Rick Scott of Florida questioned Wray during the hearing about recurring accusations that the FBI is not committing resources to combat an escalation in crimes committed against pregnancy centers, churches and other pro-life institutions. The FBI director went on to address the rising rate of violent threats and attacks against pro-life groups — the most explicit confirmation of the trend from FBI leadership thus far."
43,abortion_laws,right,medium,Fox News,"Abortion is 'gruesome sign' of what society has forgotten, says Catholic archbishop","Baltimore, Maryland – While Christian leaders continue to celebrate the overturning of Roe v. Wade this past June, they acknowledge there is still work to be done to empower and support pregnant women and the babies they deliver.
On the second day of the USCCB's 2022 Fall General Assembly this past week in Baltimore, Maryland, Bishop Michael Burbidge of Arlington, Virginia, noted there are ""so many ministries"" within the Catholic Church that are ""helping our brothers and sisters at every stage of life that are asking for support and help.""  ""We have to continue to do advocacy and witnessing. But service is at the heart of what being pro-life is — and we do that at every stage, from mothers in crisis pregnancies [to] mothers in need [and] protecting the unborn."""
44,gun_control,left,high,The New Yorker,Can Suing Gun Manufacturers Reduce Gun Violence?,"A lawyer talks about a path forward on gun control that wouldn’t require Congress or the Supreme Court.
A 2005 law called the Protection of Lawful Commerce in Arms Act (P.L.C.A.A.) has made it very difficult to sue a gunmaker. Jonathan Lowy has. He’s the chief counsel and vice-president of legal at Brady, one of the country’s oldest advocacy groups against gun violence. Faced with a hostile Supreme Court and a Senate filibuster, Lowy believes civil litigation is a path forward for gun-control advocates. "
45,gun_control,left,high,The New Yorker,"Seeing America, Again, in the Uvalde Elementary-School Shooting. Nineteen children and two adults were murdered in Texas. This is the country that gun-rights advocates have chosen.","This is the second-deadliest K-12 school shooting in U.S. history, after the December, 2012, massacre at Sandy Hook Elementary School, in Newtown, Connecticut. Eventually, Sandy Hook also came to be seen as the graveyard of the gun-control movement: in 2013, a new assault-weapons ban, and also a bill to require universal background checks for firearm sales, failed in the Senate. If an entire classroom of dead first-graders could not spur even remedial action in Congress on gun control, nothing would. And nothing has."
46,gun_control,left,medium,Huffington Post,Uvalde Parents Confront Gov. Abbott Over Texas Gun Law,Republicans in Arkansas and Oklahoma introduced bills this week that would allow authorities to criminally prosecute pregnant people for seeking abortion care. The legislation offers a terrifying preview of what’s to come in a country that no longer has federal abortion protections.
47,gun_control,left,medium,Huffington Post,Supreme Court Declines Appeal From Couple Who Pointed Guns At Racial Justice Protesters,"The U.S. Supreme Court on Monday declined to hear an appeal challenging sanctions against a couple who pointed loaded firearms at Black Lives Matter protesters who were walking past their St. Louis home.
Patricia and Mark McCloskey sparked national outrage in 2020 — and praise from former President Donald Trump — after pointing a handgun and an AR-15 assault-style rifle at racial justice demonstrators who were heading to the home of the St. Louis mayor to protest the police killing of George Floyd."
48,gun_control,center_left,high,ABC News,Gun reform on the ballot after string of devastating mass shootings,"After Uvalde, where 19 children and two teachers were killed, one Oregon resident decided to turn in his AR-15 rifle and a 9mm handgun to local police.
Ben Beers went viral on TikTok for the move -- which he said was emotional but also relieving.
""It's like, why is this weapon, that's [a] lethal weapon, here -- that I'm seeing throughout these horrible tragedies,"" Beers told ABC News. ""Why is it in my house?""
Beers described the transformation of once being excited to customize an AR-15 after leaving the military to being horrified when that style weaponry was used to kill young children."
49,gun_control,center_left,high,ABC News,"What some lifelong gun owners say about AR-15s
""There needs to be drastic changes taken with this weapon,"" one said.","Paul Kemp is the co-founder and president of Gun Owners for Responsible Ownership. A lifelong gun owner and hunter, he said he was driven to create the organization after his brother-in-law Steven Forsyth was killed in the Clackamas Town Center shooting in December 2012 in Oregon.
The gunman in that case, a 22-year-old, opened fire in the crowded shopping mall using a Stag Arms AR-15 rifle he had stolen from an acquaintance. In addition to Forsyth, Cindy Ann Yuille was killed in the incident and 15-year-old Kristina Shevchenko was injured. The gunman died by suicide at the scene.
Kemp is one of several longtime gun owners ABC News spoke with who say they want gun control laws and reform. Gun rights extremists, with, they say, the NRA as their bullhorn -- no longer represent the majority of gun owners in the U.S."
50,gun_control,center_left,medium,Buzzfeed,"After Recent Shootings, Walmart Is Removing Violent Video Game Displays, But Not Guns","Walmart, one of the largest sellers of firearms and ammunition in the United States, is removing the video game displays, but taking no action in response to its gun and ammunition sales. A company spokesperson told Bloomberg on Sunday that Walmart had no plans to stop selling the weapons.
When asked why these changes weren’t being implemented, House stated in an email to BuzzFeed News, “We are focused on assisting our associates and their families, as well as supporting the community, as we continue a thoughtful and thorough review of our policies.”"
51,gun_control,center_left,medium,Buzzfeed,"When Black Panthers Carried Guns, Conservatives Supported Gun Control","The image of who carries guns in the popular imagination has changed since 1967. And as the faces of those advocating for and carrying assault weapons have become whiter and more conservative — and as the Second Amendment has become less often invoked in the context of racial justice and collective self-defense and more often in the context of hunting and individual self-defense — the politics of gun control have shifted drastically.
What might look today like a principled, uncompromising stance that the NRA and the modern-day conservative movement have taken on gun rights is far less long-standing than it seems. Just over 50 years ago, it was sacrificed in the name of a higher political priority: undercutting radical advocates of racial justice whose insistence on exercising their constitutional rights threatened white Americans’ political and social dominance in a way that white conservatives couldn’t accept."
52,gun_control,least_biased,high,CNET,Can smart guns slash gun violence? Silicon Valley says yes,"Star investor Ron Conway is among those behind a series of $1 million challenges aimed at using technology to improve gun safety. The key? Find ways to make sure only guns' owners are able to fire them.
Although the foundation's leaders aren't naïve enough to believe that they can stop all gun violence, or bring technology to all firearms, their goals are simple: Help entrepreneurs and innovators bring new technologies to market that make it far harder for guns that fall into the wrong hands to hurt people. They think that the kinds of smart technologies already being used to track and lock devices like smart phones may well be the key."
53,gun_control,least_biased,high,CNET,"What Are Red Flag Laws, the Gun Control Measure Uniting Republicans and Democrats","Red flag laws, officially known as extreme risk protection orders, allow law enforcement to seize firearms from those deemed a risk to themselves or others. Such measures have already been passed in 19 states, including Republican strongholds like Indiana and Florida. 
While GOP leadership has traditionally been against gun regulation, the deadly mass shootings in Uvalde, Buffalo and Tulsa since mid-May have led to rare bipartisan support in Congress and statehouses across the US. "
